title,result_id,link,snippet,publication_summary,cites_id,pdf_url
ChatGPT: Perspectives from human–computer interaction and psychology,L0bsiVYsSXAJ,https://www.frontiersin.org/articles/10.3389/frai.2024.1418869/full,"The release of GPT-4 has garnered widespread attention across various fields, signaling the impending widespread adoption and application of Large Language Models (LLMs) …","J Liu - Frontiers in Artificial Intelligence, 2024 - frontiersin.org",8091046955740579375,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1418869/pdf
The sociolinguistic foundations of language modeling,8GGORR0MaSsJ,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1472411/full,"In this article, we introduce a sociolinguistic perspective on language modeling. We claim that language models in general are inherently modeling varieties of language, and we …","J Grieve, S Bartl, M Fuoli, J Grafmiller… - Frontiers in Artificial …, 2025 - frontiersin.org",3128044736046064112,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1472411/pdf
Co-creation in action: Bridging the knowledge gap in artificial intelligence among innovation champions,PiJOikFaq3EJ,https://www.sciencedirect.com/science/article/pii/S2666920X24000754,The increasing significance of artificial intelligence (AI) in various industries highlights the necessity for industry leaders and professionals to comprehend and gain knowledge about …,"EI Yuwono, D Tjondronegoro, C Riverola… - Computers and Education …, 2024 - Elsevier",8190739584843129406,
"Exploring the influence, implications and challenges of integrating generative artificial intelligence into organizational learning and development",uSS0SsDihNAJ,https://www.emerald.com/insight/content/doi/10.1108/CR-06-2024-0121/full/html,"Purpose This paper aims to investigate the benefits and challenges of integrating generative artificial intelligence, particularly ChatGPT, into organizational learning and development …","MI Alhusban, IN Khatatbeh… - … Review: An International …, 2025 - emerald.com",15025383572329735353,
"Exploring the paradoxical use of ChatGPT in education: Analyzing benefits, risks, and coping strategies through integrated UTAUT and PMT theories using a …",Eh8UqkqYDRoJ,https://www.sciencedirect.com/science/article/pii/S2666920X24001322,"ChatGPT's impact on education is both significant and inevitable, presenting a paradox of threats and benefits. While studies have explored ChatGPT's usage, intention, and …","WL Hsu, ADK Silalahi - Computers and Education: Artificial Intelligence, 2024 - Elsevier",1877324066131812114,
Leveraging enhanced egret swarm optimization algorithm and artificial intelligence-driven prompt strategies for portfolio selection,BBM06Azg7dsJ,https://www.nature.com/articles/s41598-024-77925-2,"In the financial field, constructing efficient investment portfolios is a focal point of research, encompassing asset selection and optimization of asset allocation. With the advancements …","Z Huang, Z Zhang, C Hua, B Liao, S Li - Scientific Reports, 2024 - nature.com",15847569009826599684,https://www.nature.com/articles/s41598-024-77925-2.pdf
Impact of artificial intelligence on project management (PM): Multi-expert perspectives on advancing knowledge and driving innovation toward PM2030,hQKW4Nm-4MMJ,https://www.sciencedirect.com/science/article/pii/S2444569X25001179,"The project management profession is undergoing transformative change with the integration of Artificial Intelligence (AI), redefining core methodologies and decision-making …","L Hughes, RK Mavi, M Aghajani, K Fitzpatrick… - Journal of Innovation & …, 2025 - Elsevier",14114491075164242565,
Integration of ChatGPT in mathematical story-focused 5E lesson planning: Teachers and pre-service teachers' interactions with ChatGPT,uYAHURfkQYAJ,https://link.springer.com/article/10.1007/s10639-024-13258-x,ChatGPT's advanced text generation capability has significant potential for the development of innovative and effective pedagogical strategies in mathematics teaching. The integration …,"N Şimşek - Education and Information Technologies, 2025 - Springer",9241918699135795385,
'As of my last knowledge update': How is content generated by ChatGPT infiltrating scientific papers published in premier journals?,7kQ9ek3YM_wJ,https://onlinelibrary.wiley.com/doi/abs/10.1002/leap.1650,The aim of this paper is to highlight the situation whereby content generated by the large language model ChatGPT is appearing in peer‐reviewed papers in journals by recognized …,"A Strzelecki - Learned Publishing, 2025 - Wiley Online Library",18173106748645000430,https://onlinelibrary.wiley.com/doi/pdf/10.1002/leap.1650
How do ChatGPT's benefit–risk-coping paradoxes impact higher education in Taiwan and Indonesia?,E6BCQoTP7VUJ,https://www.sciencedirect.com/science/article/pii/S2666920X25000529,The integration of ChatGPT into higher education in Taiwan and Indonesia presents both opportunities and challenges. This integration creates a paradox of benefits and risks that …,"EM Panggabean, ADK Silalahi - Computers and Education: Artificial …, 2025 - Elsevier",6191833229658595347,
